"filename", "language", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\dvdne\Desktop\project-x-api\README.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\dvdne\Desktop\project-x-api\app\config\auth.config.js", "JavaScript", 0, 0, 3, 0, 1, 4
"c:\Users\dvdne\Desktop\project-x-api\app\config\db.config.js", "JavaScript", 0, 0, 5, 0, 0, 5
"c:\Users\dvdne\Desktop\project-x-api\app\controllers\auth.controller.js", "JavaScript", 0, 0, 162, 0, 21, 183
"c:\Users\dvdne\Desktop\project-x-api\app\controllers\school.controller.js", "JavaScript", 0, 0, 42, 0, 4, 46
"c:\Users\dvdne\Desktop\project-x-api\app\controllers\storage.controller.js", "JavaScript", 0, 0, 9, 0, 1, 10
"c:\Users\dvdne\Desktop\project-x-api\app\controllers\user.controller.js", "JavaScript", 0, 0, 12, 0, 4, 16
"c:\Users\dvdne\Desktop\project-x-api\app\middlewares\authJwt.js", "JavaScript", 0, 0, 81, 0, 12, 93
"c:\Users\dvdne\Desktop\project-x-api\app\middlewares\index.js", "JavaScript", 0, 0, 6, 0, 2, 8
"c:\Users\dvdne\Desktop\project-x-api\app\middlewares\verifySignUp.js", "JavaScript", 0, 0, 60, 2, 10, 72
"c:\Users\dvdne\Desktop\project-x-api\app\models\classroom.model.js", "JavaScript", 0, 0, 26, 1, 3, 30
"c:\Users\dvdne\Desktop\project-x-api\app\models\codeStore.model.js", "JavaScript", 0, 0, 12, 1, 3, 16
"c:\Users\dvdne\Desktop\project-x-api\app\models\course.model.js", "JavaScript", 0, 0, 12, 0, 3, 15
"c:\Users\dvdne\Desktop\project-x-api\app\models\grade.model.js", "JavaScript", 0, 0, 16, 0, 3, 19
"c:\Users\dvdne\Desktop\project-x-api\app\models\index.js", "JavaScript", 0, 0, 15, 0, 6, 21
"c:\Users\dvdne\Desktop\project-x-api\app\models\parent.model.js", "JavaScript", 0, 0, 14, 1, 4, 19
"c:\Users\dvdne\Desktop\project-x-api\app\models\role.model.js", "JavaScript", 0, 0, 8, 0, 3, 11
"c:\Users\dvdne\Desktop\project-x-api\app\models\school.model.js", "JavaScript", 0, 0, 15, 0, 3, 18
"c:\Users\dvdne\Desktop\project-x-api\app\models\student.model.js", "JavaScript", 0, 0, 17, 1, 3, 21
"c:\Users\dvdne\Desktop\project-x-api\app\models\teacher.model.js", "JavaScript", 0, 0, 14, 1, 3, 18
"c:\Users\dvdne\Desktop\project-x-api\app\models\user.model.js", "JavaScript", 0, 0, 20, 0, 3, 23
"c:\Users\dvdne\Desktop\project-x-api\app\routes\auth.routes.js", "JavaScript", 0, 0, 22, 0, 5, 27
"c:\Users\dvdne\Desktop\project-x-api\app\routes\school.routes.js", "JavaScript", 0, 0, 13, 0, 3, 16
"c:\Users\dvdne\Desktop\project-x-api\app\routes\storage.routes.js", "JavaScript", 0, 0, 25, 2, 6, 33
"c:\Users\dvdne\Desktop\project-x-api\app\routes\user.routes.js", "JavaScript", 0, 0, 23, 0, 6, 29
"c:\Users\dvdne\Desktop\project-x-api\package-lock.json", "JSON", 0, 1886, 0, 0, 1, 1887
"c:\Users\dvdne\Desktop\project-x-api\package.json", "JSON", 0, 30, 0, 0, 1, 31
"c:\Users\dvdne\Desktop\project-x-api\server.js", "JavaScript", 0, 0, 67, 4, 15, 86
"Total", "-", 0, 1916, 699, 13, 130, 2758